[enu default]

//Actual unique values
Cutscene_SHIP_1_14 = "13~Spock~Negative, we are outside of sensor range.\nEstimated time until the source of the distress call is within range of long-range sensors is 7.3 minutes.~T~~~";
Cutscene_SHIP_1_15 = "13~Kirk~Understood.  Notify Starfleet Command of our status.  I'm on my way to the bridge.~L~~~";
Cutscene_SHIP_1_16 = "13~Spock~Acknowledged.~T~~~";
Cutscene_SHIP_1_17 = "13~Kirk~Well, Lieutenant, duty calls.  I'll leave you in Lt Sulu's capable hands.~L~~~";
Cutscene_SHIP_1_18 = "0~~~~KirkToTurbolift~~";
Cutscene_SHIP_1_19 = "0~~That sounds exciting...~~~~";
Cutscene_SHIP_1_20 = "0~Sulu~Just another day aboard the Enterprise.  Most of us have gotten used to the excitement.~R~~~";
Cutscene_SHIP_1_21 = "0~Sulu~Let's get you to your quarters.  They've allocated you a berth on deck 7.~R~~~";
Cutscene_SHIP_1_22 = "0~~~~SuluToTurbolift~~";

Objective_SHIP_0 = "1~Report in to Captain Kirk.~";
Objective_SHIP_0_Sulu_0 = "You need to report in to the Captain.";
Objective_SHIP_0_Sulu_1 = "Proper protocol isn't your strong suit, is it?";
Objective_SHIP_0_Sulu_2 = "Captain Kirk doesn't like being ignored.";

Objective_SHIP_1 = "0~Get to your quarters.~";
Objective_SHIP_2 = "0~Explore the ship.~";
Objective_SHIP_3 = "0~Find a weapon.~";
Objective_SHIP_4 = "0~Get to Auxiliary Control.~";
Objective_SHIP_5 = "0~Incapacitate the intruders.~";
Objective_SHIP_6 = "0~Get to Sickbay.~";
Objective_SHIP_7 = "0~Meet with Captain Kirk.~";
Objective_SHIP_8 = "0~Find Lieutenant Sulu.~";
Objective_SHIP_9 = "0~Get your security access level updated.~";
Objective_SHIP_10 = "0~Equip yourself for an away mission.~";
Objective_SHIP_11 = "0~Get to the transporter room.~";

Title_MSN01 = "PIRATE     \n     TROUBLE";
Credit_MSN01 = "MARTEN VAN WIER";

StoryByString = "STORY BASED ON IDEAS FROM";

Cutscene_MSN01_0_0 = "20~~~~HidePlayer~35~";
Cutscene_MSN01_0_1 = "20~~~~LoadCue~35~";
Cutscene_MSN01_0_2 = "20~~~~Title~35~";
Cutscene_MSN01_0_3 = "20~Security Officer's Log, Stardate 6037.4~We're beaming aboard the U.S.S. Anaxagoras, a ship thought lost over a decade ago.\nThe ship has been taken over by pirates. My team is tasked with re-taking the vessel from the inside.~T~~~";
Cutscene_MSN01_0_4 = "20~~~~QuickFade~~";
Cutscene_MSN01_0_5 = "1~~~~~35~";
Cutscene_MSN01_0_6 = "1~~~~BeamIn~175~";
Cutscene_MSN01_0_7 = "1~~~~QuickFade~~";
Cutscene_MSN01_0_8 = "0~~~~Chirp~~";
Cutscene_MSN01_0_9 = "0~~~~CommUp~~";
Cutscene_MSN01_0_10 = "0~Spock~Lieutenant, we have detected a fluctuation in the Anaxagoras's internal systems.\nThe pirates may have detected our transport; continue your mission, but know that you will be alone.~T~~~";
Cutscene_MSN01_0_11 = "0~Spock~I recommend that you rely on your tricorder and avoid contact with pirate crewmen to the greatest extent possible.~T~~~";
Cutscene_MSN01_0_12 = "0~~\ccAcknowledged~~~~";
Cutscene_MSN01_0_13 = "0~~~~CommDown~~";
Cutscene_MSN01_1_0 = "0~~~~Chirp~~";
Cutscene_MSN01_1_1 = "0~~~~CommUp~~";
Cutscene_MSN01_1_2 = "0~Spock~Lieutenant, you have been detected.  Your turbolift has been halted on deck 3.\nYou should be able to force the doors open to escape and use access ladders to reach the bridge.~T~~~";
Cutscene_MSN01_1_3 = "0~~~~CommDown~~";
Cutscene_MSN01_1_4 = "0~~~~Objective2~~";
Cutscene_MSN01_2_0 = "0~~~~Chirp~~";
Cutscene_MSN01_2_1 = "0~~~~CommUp~~";
Cutscene_MSN01_2_2 = "0~Spock~Effectively done, Lieutenant.\nYou should be able to incapacitate the remaining pirate crew from the Environmental station on the port side.~T~~~";
Cutscene_MSN01_2_3 = "0~~~~CommDown~~";
Cutscene_MSN01_2_4 = "0~~~~Objective4~~";
Cutscene_MSN01_3_0 = "11~~~~Chirp~~";
Cutscene_MSN01_3_1 = "11~~~~CommUp~~";
Cutscene_MSN01_3_2 = "11~Kirk~Well done, Lieutenant.  It looks like you've knocked out the remaining pirates.\nStand by for beam out.~T~~~";
Cutscene_MSN01_3_3 = "11~~\ccAye, Sir.~~~~";
Cutscene_MSN01_3_4 = "21~~~~CommDown~~";
Cutscene_MSN01_3_5 = "21~~~~A_CheckBeamUp~350~";

Objective_MSN01_0 = "1~Gain access to the Anaxagoras' bridge.~";
Objective_MSN01_1 = "0~Escape from the Turbolift.~";
Objective_MSN01_2 = "0~Clear the bridge of pirates.~";
Objective_MSN01_3 = "0~Incapacitate the remaining pirates aboard the ship.~";
